scenario,seed,sensor,alpha,target_expert,drift_reliability,drift_modulation_factor,coord_threshold_v75,coord_threshold_v73,single_action,reliability_spike,reliability_drift,reliability_flat,reliability_dropout,coef_v75_spike,coef_v75_drift,coef_v75_flat,coef_v75_dropout
low,123,sensor_507_multivar_labeled,0.6,drift,0.1821052631578947,0.6728421052631579,0.875,0.875,hampel_w31_k2.5,0.8136664040698088,0.1821052631578947,0.178796992481203,0.1860150375939849,2.50057972098692,-0.0044343873995882,-0.3106414114649963,0.4767815993665232
low,123,sensor_508_multivar_labeled,0.6,drift,0.4131690880354974,0.7652676352141989,0.875,0.875,flat_std_w18,0.7995733126454616,0.4131690880354974,0.1858044164037855,0.4550403905836832,2.5061007148025887,-0.3004834275183197,0.2401379277389004,0.945204349759132
low,123,sensor_509_multivar_labeled,0.6,drift,0.1881569726699369,0.6752627890679748,0.675,0.675,z_w21_t3,0.9051491593441872,0.1881569726699369,0.1931791637467881,0.6564499809139703,2.808170286071777,2.395334549186328,-3.9755246476497184,4.988956532404002
low,123,sensor_510_multivar_labeled,0.6,drift,0.1999675008124797,0.6799870003249919,0.95,0.95,flat_std_w18,0.8338721078778297,0.1999675008124797,0.1923244929797192,0.1906708268330733,3.475309515754476,1.4217380249179083,4.579861733600817,-0.6400659624228047
low,123,sensor_511_multivar_labeled,0.6,drift,0.4069457245947547,0.7627782898379019,0.75,0.75,flat_std_w18,0.7938532799620466,0.4069457245947547,0.1895787139689578,0.1914264597191426,2.903497658359665,-1.0289947088668814,2.912508245544425,0.0001013276214425
low,321,sensor_501_multivar_labeled,0.6,drift,0.405845867613911,0.7623383470455645,0.925,0.925,flat_std_w18,0.7139407807804707,0.405845867613911,0.1783319002579536,0.1822871883061049,2.887259300491685,-0.0087202676899234,4.276282372285985,-1.662089589469136
low,321,sensor_502_multivar_labeled,0.6,drift,0.29579356551419,0.718317426205676,0.575,0.5499999999999999,flat_std_w36,0.8189967779733565,0.29579356551419,0.1926100628930817,0.4201018546784518,3.705291141745139,-0.1192503991724695,4.323810255736355,-0.609860816770932
low,321,sensor_505_multivar_labeled,0.6,drift,0.3026869191288667,0.7210747676515467,0.9,0.9,flat_std_w18,0.8395814307458143,0.3026869191288667,0.1710750193348801,0.2982529812377184,3.4068105447356363,-0.8261635738954903,5.7680636235568254,-6.3272061385980765
low,321,sensor_506_multivar_labeled,0.6,drift,0.1992364330515408,0.6796945732206163,0.75,0.75,flat_std_w18,0.8823024884442179,0.1992364330515408,0.1895784236711181,0.6167429282920152,2.759984138860716,0.6268152798023222,2.790014326585988,-1.2529374020828812
low,321,sensor_507_multivar_labeled,0.6,drift,0.1849624060150376,0.673984962406015,0.7999999999999999,0.7999999999999999,flat_std_w18,0.7995852187028658,0.1849624060150376,0.1679699248120301,0.177593984962406,2.068299477756793,-0.4181362876906391,-1.8369195634108724,2.586861225041451
low,321,sensor_508_multivar_labeled,0.6,drift,0.1767145135566188,0.6706858054226476,0.925,0.95,z_w21_t3,0.5995739736638266,0.1767145135566188,0.1954258675078864,0.1710750193348801,3.823672832925178,1.1417614908159597,-2.767621770686279,3.452375920694443
low,321,sensor_509_multivar_labeled,0.6,drift,0.403878242707949,0.7615512970831796,0.85,0.85,flat_std_w18,0.8120848175795192,0.403878242707949,0.1888928613991181,0.1901658491006774,2.740727978543505,0.7039368522263758,2.8494891168246195,-0.056743830148966
low,321,sensor_510_multivar_labeled,0.6,drift,0.3996832793144135,0.7598733117257654,0.625,0.625,z_w21_t3,0.8635980477471243,0.3996832793144135,0.4195609235520775,0.1906396255850234,3.9811099535595096,-0.3354431232208024,0.6767311219006921,1.0000843774642885
low,321,sensor_511_multivar_labeled,0.6,drift,0.1843311160384331,0.6737324464153732,0.875,0.875,dropout_w24,0.9356676978860295,0.1843311160384331,0.1824094604582409,0.1933481152993348,3.278060989063884,-1.2261758522525137,-3.766728802020695,5.981910968901911
low,42,sensor_501_multivar_labeled,0.6,drift,0.196560619088564,0.6786242476354256,0.9,0.9,hampel_w31_k2.5,0.8189840378785482,0.196560619088564,0.1800515907136715,0.1860053144375553,5.266986737172405,-0.4913046439233041,6.257557953852905,-7.037786128165505
