scenario,seed,sensor,ablation,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward
high,999,sensor_505_multivar_labeled,without_flat,20,1796,13,152,0.91670873296315,0.6060606060606061,0.1162790697674418,0.1951219512195122,0.0071862907683803,0.8837209302325582,0.9928137092316196,0.5545463894995308,0.2400092974401121,0.2128790608112659
high,999,sensor_505_multivar_labeled,without_dropout,94,1793,16,78,0.9525492175668854,0.8545454545454545,0.5465116279069767,0.6666666666666665,0.0088446655610834,0.4534883720930232,0.9911553344389166,0.7688334811729467,0.6610946187465078,0.5912508399978028
high,999,sensor_506_multivar_labeled,full,279,4443,99,908,0.8242276138942224,0.7380952380952381,0.2350463352990733,0.3565495207667731,0.0217965653896961,0.7649536647009267,0.9782034346103038,0.6066248849546886,0.3481561893555344,0.339495814110086
high,999,sensor_506_multivar_labeled,without_spike,246,4450,92,941,0.8196893000523652,0.727810650887574,0.2072451558550969,0.3226229508196722,0.0202553940995156,0.7927548441449032,0.9797446059004844,0.5934948808777907,0.3216427278004891,0.3144999328485661
high,999,sensor_506_multivar_labeled,without_drift,278,4446,96,909,0.8245767149589807,0.7433155080213903,0.2342038753159225,0.356181934657271,0.0211360634081902,0.7657961246840775,0.9788639365918098,0.6065339059538661,0.3495837459054955,0.3399267530529382
high,999,sensor_506_multivar_labeled,without_flat,254,4428,114,933,0.8172455925990574,0.6902173913043478,0.2139848357203032,0.3266881028938906,0.0250990752972258,0.7860151642796968,0.974900924702774,0.5944428802115387,0.312249197124639,0.3122277981842714
high,999,sensor_506_multivar_labeled,without_dropout,296,4402,140,891,0.8200384011171234,0.6788990825688074,0.2493681550126369,0.3647566235366605,0.0308234258036107,0.7506318449873631,0.9691765741963893,0.6092723646045131,0.3340373806934589,0.3377034469002483
high,999,sensor_507_multivar_labeled,full,88,1623,16,270,0.85678517776665,0.8461538461538461,0.2458100558659217,0.3809523809523809,0.0097620500305064,0.7541899441340782,0.9902379499694935,0.6180240029177076,0.4075110122708964,0.3711184601083742
high,999,sensor_507_multivar_labeled,without_spike,136,1621,18,222,0.8798197295943916,0.8831168831168831,0.3798882681564245,0.53125,0.0109823062843197,0.6201117318435754,0.9890176937156804,0.6844529809360524,0.5304245736541586,0.4843982822860279
high,999,sensor_507_multivar_labeled,without_drift,90,1623,16,268,0.85778668002003,0.8490566037735849,0.2513966480446927,0.3879310344827586,0.0097620500305064,0.7486033519553073,0.9902379499694935,0.6208172990070931,0.4134199319200686,0.3763702454936363
high,999,sensor_507_multivar_labeled,without_flat,33,1635,4,325,0.8352528793189785,0.8918918918918919,0.0921787709497206,0.1670886075949366,0.0024405125076266,0.9078212290502792,0.9975594874923734,0.544869129221047,0.2552582157989828,0.2363832372356588
